Runner,Race,Placement,Grade,Time,Avr splits,Date,Length,Sport,Date_dt,time_seconds
R01,Race01,16/33,12,17:27.8,5:49,09/11/2025,3 Mile,XC,2025-09-11,1047.8
R01,Race02,149/315,12,16:31.4,5:30,09/21/2025,3 Mile,XC,2025-09-21,991.4
R01,Race03,29/141,12,16:30.4,5:30,09/27/2025,3 Mile,XC,2025-09-27,990.4
R01,Race04,6/34,12,16:48.5,5:36,10/09/2025,3 Mile,XC,2025-10-09,1008.5
R01,Race05,52/130,12,17:20.4,5:47,10/25/2025,3 Mile,XC,2025-10-25,1040.4
R01,Race06,8/34,12,16:23.3,5:28,11/06/2025,3 Mile,XC,2025-11-06,983.3
R02,Race07,66/198,11,17:56.3,5:59,09/06/2025,3 Mile,XC,2025-09-06,1076.3
R02,Race01,14/33,11,17:17.7,5:46,09/11/2025,3 Mile,XC,2025-09-11,1037.7
R02,Race02,155/315,11,16:34.9,5:32,09/21/2025,3 Mile,XC,2025-09-21,994.9
R02,Race03,16/114,11,16:44.5,5:35,09/27/2025,3 Mile,XC,2025-09-27,1004.5
R02,Race04,5/34,11,16:48.4,5:36,10/09/2025,3 Mile,XC,2025-10-09,1008.4
R02,Race05,62/130,11,17:41.3,5:54,10/25/2025,3 Mile,XC,2025-10-25,1061.3
R02,Race06,18/34,11,17:12.8,5:44,11/06/2025,3 Mile,XC,2025-11-06,1032.8
R03,Race07,30/135,9,23:25.4,7:48,09/06/2025,3 Mile,XC,2025-09-06,1405.4
R03,Race01,17/28,9,22:39.8,7:33,09/11/2025,3 Mile,XC,2025-09-11,1359.8
R03,Race03,13/111,9,21:10.7,7:04,09/27/2025,3 Mile,XC,2025-09-27,1270.7
R03,Race04,15/25,9,21:35.2,7:12,10/09/2025,3 Mile,XC,2025-10-09,1295.2
R03,Race05,58/112,9,23:06.2,7:42,10/25/2025,3 Mile,XC,2025-10-25,1386.2
R03,Race06,15/31,9,21:26.7,7:09,11/06/2025,3 Mile,XC,2025-11-06,1286.7
R04,Race01,19/69,11,19:55.6,6:39,09/11/2025,3 Mile,XC,2025-09-11,1195.6
R04,Race04,53/63,11,22:37.8,7:33,10/09/2025,3 Mile,XC,2025-10-09,1357.8
R05,Race07,121/212,12,19:09.8,6:23,09/06/2025,3 Mile,XC,2025-09-06,1149.8
R05,Race01,13/69,12,19:16.8,6:26,09/11/2025,3 Mile,XC,2025-09-11,1156.8
R05,Race02,128/213,12,19:16.3,6:25,09/21/2025,3 Mile,XC,2025-09-21,1156.3
R05,Race03,84/141,12,18:45.0,6:15,09/27/2025,3 Mile,XC,2025-09-27,1125
R05,Race04,18/63,12,19:30.3,6:30,10/09/2025,3 Mile,XC,2025-10-09,1170.3
R05,Race05,122/204,12,20:54.6,6:58,10/25/2025,3 Mile,XC,2025-10-25,1254.6
R05,Race06,19/68,12,19:02.4,6:21,11/06/2025,3 Mile,XC,2025-11-06,1142.4
R06,Race01,11/69,11,19:10.8,6:24,09/11/2025,3 Mile,XC,2025-09-11,1150.8
R06,Race02,39/193,11,17:59.0,6:00,09/21/2025,3 Mile,XC,2025-09-21,1079
R06,Race03,28/114,11,17:12.7,5:44,09/27/2025,3 Mile,XC,2025-09-27,1032.7
R06,Race04,2/63,11,17:45.7,5:55,10/09/2025,3 Mile,XC,2025-10-09,1065.7
R06,Race05,95/130,11,18:39.7,6:13,10/25/2025,3 Mile,XC,2025-10-25,1119.7
R06,Race06,12/68,11,18:28.3,6:09,11/06/2025,3 Mile,XC,2025-11-06,1108.3
R07,Race07,9/180,10,20:33.1,6:51,09/06/2025,3 Mile,XC,2025-09-06,1233.1
R07,Race01,8/28,10,21:13.6,7:05,09/11/2025,3 Mile,XC,2025-09-11,1273.6
R07,Race02,16/154,10,20:02.7,6:41,09/21/2025,3 Mile,XC,2025-09-21,1202.7
R07,Race03,8/122,10,19:42.5,6:34,09/27/2025,3 Mile,XC,2025-09-27,1182.5
R07,Race05,47/112,10,22:29.4,7:30,10/25/2025,3 Mile,XC,2025-10-25,1349.4
R07,Race06,19/31,10,21:56.9,7:19,11/06/2025,3 Mile,XC,2025-11-06,1316.9
R08,Race07,21/207,10,17:35.3,5:52,09/06/2025,3 Mile,XC,2025-09-06,1055.3
R08,Race01,17/33,10,17:37.4,5:52,09/11/2025,3 Mile,XC,2025-09-11,1057.4
R08,Race02,205/315,10,16:59.6,5:40,09/21/2025,3 Mile,XC,2025-09-21,1019.6
R08,Race04,20/34,10,17:40.0,5:53,10/09/2025,3 Mile,XC,2025-10-09,1060
R08,Race05,72/130,10,18:00.0,6:00,10/25/2025,3 Mile,XC,2025-10-25,1080
R08,Race06,19/34,10,17:17.9,5:46,11/06/2025,3 Mile,XC,2025-11-06,1037.9
R09,Race07,42/212,12,17:21.2,5:47,09/06/2025,3 Mile,XC,2025-09-06,1041.2
R09,Race01,21/33,12,18:07.4,6:02,09/11/2025,3 Mile,XC,2025-09-11,1087.4
